system:index,UF,UF_codigo_gaul,camargo_completo,cm_hidrico,cm_hidrico_codigo,cm_letra_seca,cm_termico,cm_termico_codigo,def_anual_mm,excedente_anual_mm,latitude,longitude,municipio,municipio_codigo_gaul,temp_anual_c,temp_mes_mais_frio_c,.geo
000000000000000015bd_0,Alagoas,666,TR-SEp,SE,3,p,TR,7,726.256664276123,69.6666652560234,-9.275105308534059,-37.88644710774082,Agua Branca,6355,23.367361,19.991667,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015be_0,Alagoas,666,TR-SEv,SE,3,v,TR,7,453.29332661628723,176.9333319067955,-9.679347186387844,-36.314395360531655,Anadia,6356,23.85125,21.35,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015bf_0,Alagoas,666,TR-SEv,SE,3,v,TR,7,682.2566700577736,46.06666648387909,-9.769178714799796,-36.62880570997349,Arapiraca,6357,23.783056,21.061666,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015c0_0,Alagoas,666,TR-MOv,MO,4,v,TR,7,366.8733324557543,351.9333337545395,-9.49968412956394,-36.089816539501776,Atalaia,6358,23.925417,21.588333,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015c1_0,Alagoas,666,TR-MOv,MO,4,v,TR,7,248.34333369880915,641.8666768074036,-9.364936836946011,-35.55082736903006,Barra De Santo Antonio,6359,24.498611,22.656666,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015c2_0,Alagoas,666,TR-MOv,MO,4,v,TR,7,311.4100018441677,422.099990606308,-9.814094479005773,-35.955069246883845,Barra De Sao Miguel,6360,24.333889,22.208334,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015c3_0,Alagoas,666,TR-SEp,SE,3,p,TR,7,863.2533226013184,37.13333374261856,-9.72426295059382,-37.122879116239226,Batalha,6361,24.805555,21.721666,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015c4_0,Alagoas,666,TR-SEv,SE,3,v,TR,7,404.6066666841507,176.89999955892563,-9.544599893769915,-36.49405841735556,Belem,6362,22.646528,20.143333,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015c5_0,Alagoas,666,TR-SEp,SE,3,p,TR,7,912.0966749191284,31.566666662693024,-9.814094479005773,-37.1677948804452,Belo Monte,6363,25.016666,21.92,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015c6_0,Alagoas,666,TR-MOv,MO,4,v,TR,7,403.78333550691605,264.5000010728836,-9.679347186387844,-36.179648067913725,Boca Da Mata,6364,23.925,21.496666,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015c7_0,Alagoas,666,TR-MOv,MO,4,v,TR,7,390.88666120171547,321.0666697025299,-9.230189544328082,-36.0449007752958,Branquinha,6365,23.91014,21.613333,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015c8_0,Alagoas,666,TR-SEp,SE,3,p,TR,7,801.0300064086914,43.63333350419998,-9.454768365357964,-36.94321605941532,Cacimbinhas,6366,24.227917,21.244999,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015c9_0,Alagoas,666,TR-MOv,MO,4,v,TR,7,353.6333354189992,382.9999977350235,-9.364936836946011,-36.13473230370775,Cajueiro,6367,23.811111,21.48,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015ca_0,Alagoas,666,TR-MOv,MO,4,v,TR,7,327.8533270955086,415.56666827201843,-8.870863430680274,-35.55082736903006,Campestre,6368,23.639305,21.701668,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015cb_0,Alagoas,666,TR-SEv,SE,3,v,TR,7,458.41333305835724,170.0666651725769,-9.814094479005773,-36.26947959632568,Campo Alegre,6369,23.973333,21.521667,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015cc_0,Alagoas,666,TR-SEv,SE,3,v,TR,7,673.1666738986969,78.13333243131638,-9.9488417716237,-36.763553002591415,Campo Grande,6370,24.310972,21.425,"{""type"":""MultiPoint"",""coordinates"":[]}"
