code_muni,name_muni,abbrev_state,camargo_completo,cm_termico,cm_termico_codigo,cm_hidrico,cm_hidrico_codigo,cm_letra_seca,def_anual_mm,excedente_anual_mm,temp_anual_c,temp_mes_mais_frio_c,preenchido_por_vizinho
1100015.0,Alta Floresta d'Oeste,RO,TR-MOi,TR,7.0,MO,4.0,i,212.13999924063685,557.4333314746618,25.139166,23.733334,False
1100023.0,Ariquemes,RO,TR-MOi,TR,7.0,MO,4.0,i,152.41999968886375,1189.16667483747,25.682638,24.898333,False
1100031.0,Cabixi,RO,TR-MOi,TR,7.0,MO,4.0,i,238.44333504885435,600.5999967753887,25.445833,23.531666,False
1100049.0,Cacoal,RO,TR-MOi,TR,7.0,MO,4.0,i,195.32333517074585,997.233309864998,24.789722,23.655,False
1100056.0,Cerejeiras,RO,TR-MOi,TR,7.0,MO,4.0,i,260.88667142391205,518.2000006139278,25.460278,23.668333,False
1100064.0,Colorado do Oeste,RO,TR-MOi,TR,7.0,MO,4.0,i,221.55000080168247,672.5999982059002,24.412083,22.633333,False
1100072.0,Corumbiara,RO,TR-MOi,TR,7.0,MO,4.0,i,241.73999857902527,528.8666687607765,25.04486,23.381666,False
1100080.0,Costa Marques,RO,TR-MOi,TR,7.0,MO,4.0,i,182.94666135311127,611.433342218399,26.120695,24.8,False
1100098.0,Espigão d'Oeste,RO,TR-MOi,TR,7.0,MO,4.0,i,193.26000082492828,896.3666775524616,24.230278,23.125,False
1100106.0,Guajará-Mirim,RO,TR-MOi,TR,7.0,MO,4.0,i,158.34333300590515,730.5333359241486,26.275557,25.075,False
1100114.0,Jaru,RO,TR-MOi,TR,7.0,MO,4.0,i,171.20666497945786,1019.4333194792272,25.196667,24.296667,False
1100122.0,Ji-Paraná,RO,TR-MOi,TR,7.0,MO,4.0,i,175.98000147938728,1070.7333391606808,24.931805,24.113333,False
1100130.0,Machadinho d'Oeste,RO,TR-UMi,TR,7.0,UM,6.0,i,136.46999813616276,1282.1333330869677,25.705694,25.091667,False
1100148.0,Nova Brasilândia d'Oeste,RO,TR-MOi,TR,7.0,MO,4.0,i,197.3866674900055,816.7333301603794,24.855,23.66,False
1100155.0,Ouro Preto do Oeste,RO,TR-MOi,TR,7.0,MO,4.0,i,162.4733346104622,1085.6666622459888,24.764444,23.931667,False
1100189.0,Pimenta Bueno,RO,TR-MOi,TR,7.0,MO,4.0,i,205.08999967575076,743.8999904245138,24.95125,23.585,False
1100205.0,Porto Velho,RO,TR-UMi,TR,7.0,UM,6.0,i,134.44666236639023,1117.3333257436752,26.352222,25.603333,False
1100254.0,Presidente Médici,RO,TR-MOi,TR,7.0,MO,4.0,i,176.82333427667618,1063.2666766047478,24.82611,23.761667,False
1100262.0,Rio Crespo,RO,TR-UMi,TR,7.0,UM,6.0,i,149.1233336199075,1332.833295404911,25.58625,24.861666,False
1100288.0,Rolim de Moura,RO,TR-MOi,TR,7.0,MO,4.0,i,200.3700028657913,841.8999983668327,25.015,23.808334,False
1100296.0,Santa Luzia d'Oeste,RO,TR-MOi,TR,7.0,MO,4.0,i,229.846665263176,713.7000036388636,24.276667,22.956667,False
1100304.0,Vilhena,RO,TR-MOi,TR,7.0,MO,4.0,i,205.96666491031647,792.06665930897,24.294027,22.896667,False
1100320.0,São Miguel do Guaporé,RO,TR-MOi,TR,7.0,MO,4.0,i,175.7300009727478,695.7333454489708,25.124306,23.963333,False
1100338.0,Nova Mamoré,RO,TR-UMi,TR,7.0,UM,6.0,i,147.7566684819758,888.0333309173584,26.306807,25.251667,False
1100346.0,Alvorada d'Oeste,RO,TR-MOi,TR,7.0,MO,4.0,i,175.07666647434235,816.3333323895931,24.878056,23.768333,False
