system:index,UF,UF_codigo_gaul,def_anual_mm,excedente_anual_mm,indice_aridez_ia,indice_hidrico_ih,indice_umidade_im,latitude,longitude,municipio,municipio_codigo_gaul,pet_anual_mm,th_classe,th_classe_codigo,th_petr,th_pety,th_subtipo,thornthwaite_completo,.geo
000000000000000015bd_0,Alagoas,666,726.256664276123,69.6666652560234,53.22563301892428,5.1057051053228495,-26.829674706031717,-9.275105308534059,-37.88644710774082,Agua Branca,6355,1364.4866638183594,D,8,b2',A',d,DdA'b2',"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015be_0,Alagoas,666,453.29332661628723,176.9333319067955,33.548622105471665,13.094985391275765,-7.034187872007232,-9.679347186387844,-36.314395360531655,Anadia,6356,1351.153335571289,C1,7,b2',A',w,C1wA'b2',"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015bf_0,Alagoas,666,682.2566700577736,46.06666648387909,50.32665581994716,3.398107150363452,-26.797886341604844,-9.769178714799796,-36.62880570997349,Arapiraca,6357,1355.6566772460938,D,8,b2',A',d,DdA'b2',"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015c0_0,Alagoas,666,366.8733324557543,351.9333337545395,27.176473417925944,26.06977952210734,9.763895471351773,-9.49968412956394,-36.089816539501776,Atalaia,6358,1349.966667175293,C2,6,b2',A',s,C2sA'b2',"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015c1_0,Alagoas,666,248.34333369880915,641.8666768074036,19.06710606581847,49.280726905454586,37.84046326596351,-9.364936836946011,-35.55082736903006,Barra De Santo Antonio,6359,1302.469985961914,B1,5,b2',A',s,B1sA'b2',"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015c2_0,Alagoas,666,311.4100018441677,422.099990606308,23.911635553825157,32.41097293882596,18.063991606530863,-9.814094479005773,-35.955069246883845,Barra De Sao Miguel,6360,1302.336685180664,C2,6,b2',A',s,C2sA'b2',"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015c3_0,Alagoas,666,863.2533226013184,37.13333374261856,61.99483915935758,2.666743344685121,-34.530160150929426,-9.72426295059382,-37.122879116239226,Batalha,6361,1392.459976196289,D,8,b2',A',d,DdA'b2',"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015c4_0,Alagoas,666,404.6066666841507,176.89999955892563,31.917098278501683,13.954625902881359,-5.195633064219651,-9.544599893769915,-36.49405841735556,Belem,6362,1267.6799850463867,C1,7,b2',A',w,C1wA'b2',"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015c5_0,Alagoas,666,912.0966749191284,31.566666662693024,64.49696119279174,2.2321691666182466,-36.4660075490568,-9.814094479005773,-37.1677948804452,Belo Monte,6363,1414.1699981689453,D,8,b2',A',d,DdA'b2',"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000015c6_0,Alagoas,666,403.78333550691605,264.5000010728836,29.842381764755068,19.54837982326767,1.6429507644146284,-9.679347186387844,-36.179648067913725,Boca Da Mata,6364,1353.0533142089844,C2,6,b2',A',s,C2sA'b2',"{""type"":""MultiPoint"",""coordinates"":[]}"
